"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":1102},{""page_index"":1,""viewing_time"":770}]","1872","instructions","0","1876","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","2999","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","861","audio-keyboard-response","2","4648","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1592","audio-keyboard-response","3","6774","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1808","audio-keyboard-response","4","8948","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1760","audio-keyboard-response","5","11168","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1640","audio-keyboard-response","6","13410","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","2120","audio-keyboard-response","7","15896","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1589","audio-keyboard-response","8","17909","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","19177","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1739","audio-keyboard-response","10","21351","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2029","audio-keyboard-response","11","24206","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","3680","audio-keyboard-response","12","28317","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","3048","audio-keyboard-response","13","31819","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1629","audio-keyboard-response","14","33917","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1931","audio-keyboard-response","15","36391","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1560","audio-keyboard-response","16","38377","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2040","audio-keyboard-response","17","40791","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","18830","html-keyboard-response","18","59886","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":30561}]","30561","instructions","19","90961","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","92092","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1701","audio-keyboard-response","21","94240","0.0-3.0-1.0","../audio/44-1-masc.mp3"," ","","Meus","","","",""
"","1640","audio-keyboard-response","22","96334","0.0-3.0-1.1","../audio/44-2-masc.mp3"," ","","irmãos","","","",""
"","1429","audio-keyboard-response","23","98227","0.0-3.0-1.2","../audio/44-3-masc.mp3"," ","","brigam","","","",""
"","1232","audio-keyboard-response","24","99811","0.0-3.0-1.3","../audio/44-4-masc.mp3"," ","","por","","","",""
"","1469","audio-keyboard-response","25","101648","0.0-3.0-1.4","../audio/44-5-masc.mp3"," ","","bobagem","","","",""
"","1400","audio-keyboard-response","26","103410","0.0-3.0-1.5","../audio/44-6-masc.mp3"," ","","todos","","","",""
"","1621","audio-keyboard-response","27","105408","0.0-3.0-1.6","../audio/44-7-masc.mp3"," ","","os","","","",""
"","1699","audio-keyboard-response","28","107466","0.0-3.0-1.7","../audio/44-8-masc.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","29","108738","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1160","audio-keyboard-response","30","110443","0.0-3.0-1.8","../audio/41-1-masc.mp3"," ","","A","","","",""
"","1411","audio-keyboard-response","31","112205","0.0-3.0-1.9","../audio/41-2-masc.mp3"," ","","novela","","","",""
"","1259","audio-keyboard-response","32","113830","0.0-3.0-1.10","../audio/41-3-masc.mp3"," ","","falava","","","",""
"","1120","audio-keyboard-response","33","115317","0.0-3.0-1.11","../audio/41-4-masc.mp3"," ","","de","","","",""
"","1472","audio-keyboard-response","34","117175","0.0-3.0-1.12","../audio/41-5-masc.mp3"," ","","paixão","","","",""
"","1099","audio-keyboard-response","35","118620","0.0-3.0-1.13","../audio/41-6-masc.mp3"," ","","e","","","",""
"","1429","audio-keyboard-response","36","120420","0.0-3.0-1.14","../audio/41-7-masc.mp3"," ","","comédia.","","","",""
"","null","html-keyboard-response","37","121688","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1520","audio-keyboard-response","38","123719","0.0-3.0-1.15","../audio/43-1-fem.mp3"," ","","Eu","","","",""
"","1928","audio-keyboard-response","39","126059","0.0-3.0-1.16","../audio/43-2-fem.mp3"," ","","achei","","","",""
"","1200","audio-keyboard-response","40","127740","0.0-3.0-1.17","../audio/43-3-fem.mp3"," ","","um","","","",""
"","1632","audio-keyboard-response","41","129729","0.0-3.0-1.18","../audio/43-4-fem.mp3"," ","","colchão","","","",""
"","1480","audio-keyboard-response","42","131559","0.0-3.0-1.19","../audio/43-5-fem.mp3"," ","","velho","","","",""
"","1480","audio-keyboard-response","43","133396","0.0-3.0-1.20","../audio/43-6-fem.mp3"," ","","e","","","",""
"","1568","audio-keyboard-response","44","135339","0.0-3.0-1.21","../audio/43-7-fem.mp3"," ","","imundo","","","",""
"","1579","audio-keyboard-response","45","137259","0.0-3.0-1.22","../audio/43-8-fem.mp3"," ","","na","","","",""
"","1648","audio-keyboard-response","46","139268","0.0-3.0-1.23","../audio/43-9-fem.mp3"," ","","casa.","","","",""
"","null","html-keyboard-response","47","140556","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1259","audio-keyboard-response","48","142267","0.0-3.0-1.24","../audio/42-1-masc.mp3"," ","","Eu","","","",""
"","1088","audio-keyboard-response","49","143704","0.0-3.0-1.25","../audio/42-2-masc.mp3"," ","","fui","","","",""
"","1240","audio-keyboard-response","50","145290","0.0-3.0-1.26","../audio/42-3-masc.mp3"," ","","a","","","",""
"","1272","audio-keyboard-response","51","146934","0.0-3.0-1.27","../audio/42-4-masc.mp3"," ","","uma","","","",""
"","1480","audio-keyboard-response","52","148751","0.0-3.0-1.28","../audio/42-5-masc.mp3"," ","","loja","","","",""
"","1189","audio-keyboard-response","53","150281","0.0-3.0-1.29","../audio/42-6-masc.mp3"," ","","de","","","",""
"","1552","audio-keyboard-response","54","152171","0.0-3.0-1.30","../audio/42-7-masc.mp3"," ","","móveis","","","",""
"","1232","audio-keyboard-response","55","153733","0.0-3.0-1.31","../audio/42-8-masc.mp3"," ","","no","","","",""
"","1949","audio-keyboard-response","56","156022","0.0-3.0-1.32","../audio/42-9-masc.mp3"," ","","bairro.","","","",""
"","null","html-keyboard-response","57","157283","0.0-3.0-0.33-0.33","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1152","audio-keyboard-response","58","158849","0.0-3.0-1.33","../audio/45-1-fem.mp3"," ","","O","","","",""
"","1640","audio-keyboard-response","59","160868","0.0-3.0-1.34","../audio/45-2-fem.mp3"," ","","homem","","","",""
"","1760","audio-keyboard-response","60","162990","0.0-3.0-1.35","../audio/45-3-fem.mp3"," ","","pagou","","","",""
"","1312","audio-keyboard-response","61","164736","0.0-3.0-1.36","../audio/45-4-fem.mp3"," ","","o","","","",""
"","2040","audio-keyboard-response","62","167173","0.0-3.0-1.37","../audio/45-5-fem.mp3"," ","","aluguel","","","",""
"","1560","audio-keyboard-response","63","169210","0.0-3.0-1.38","../audio/45-6-fem.mp3"," ","","com","","","",""
"","1560","audio-keyboard-response","64","171129","0.0-3.0-1.39","../audio/45-7-fem.mp3"," ","","atraso.","","","",""
"","9258","html-keyboard-response","65","180645","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O homem pagou o aluguel em dia?</span>","s","","","O homem pagou o aluguel em dia?","null","exp-sent","false"
"","null","html-keyboard-response","66","182175","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2781","audio-keyboard-response","67","185410","0.0-3.0-1.40","../audio/73-1-fem.mp3"," ","","O","","","",""
"","1629","audio-keyboard-response","68","187484","0.0-3.0-1.41","../audio/73-2-fem.mp3"," ","","cliente","","","",""
"","1389","audio-keyboard-response","69","189594","0.0-3.0-1.42","../audio/73-3-fem.mp3"," ","","era","","","",""
"","1072","audio-keyboard-response","70","191011","0.0-3.0-1.43","../audio/73-4-fem.mp3"," ","","um","","","",""
"","1069","audio-keyboard-response","71","192425","0.0-3.0-1.44","../audio/73-5-fem.mp3"," ","","homem","","","",""
"","1200","audio-keyboard-response","72","193972","0.0-3.0-1.45","../audio/73-6-fem.mp3"," ","","muito","","","",""
"","1611","audio-keyboard-response","73","195953","0.0-3.0-1.46","../audio/73-7-fem.mp3"," ","","educado.","","","",""
"","null","html-keyboard-response","74","197226","0.0-3.0-0.47-0.47","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1349","audio-keyboard-response","75","199000","0.0-3.0-1.47","../audio/74-1-fem.mp3"," ","","Este","","","",""
"","2008","audio-keyboard-response","76","201382","0.0-3.0-1.48","../audio/74-2-fem.mp3"," ","","emprego","","","",""
"","1160","audio-keyboard-response","77","203009","0.0-3.0-1.49","../audio/74-3-fem.mp3"," ","","é","","","",""
"","1320","audio-keyboard-response","78","204681","0.0-3.0-1.50","../audio/74-4-fem.mp3"," ","","muito","","","",""
"","2672","audio-keyboard-response","79","207736","0.0-3.0-1.51","../audio/74-5-fem.mp3"," ","","cansativo","","","",""
"","1451","audio-keyboard-response","80","209652","0.0-3.0-1.52","../audio/74-6-fem.mp3"," ","","a","","","",""
"","1829","audio-keyboard-response","81","211834","0.0-3.0-1.53","../audio/74-7-fem.mp3"," ","","longo","","","",""
"","1312","audio-keyboard-response","82","213615","0.0-3.0-1.54","../audio/74-8-fem.mp3"," ","","prazo.","","","",""
"","null","html-keyboard-response","83","214876","0.0-3.0-0.55-0.55","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1632","audio-keyboard-response","84","216974","0.0-3.0-1.55","../audio/71-1-masc.mp3"," ","","Minhas","","","",""
"","1440","audio-keyboard-response","85","219015","0.0-3.0-1.56","../audio/71-2-masc.mp3"," ","","comidas","","","",""
"","1571","audio-keyboard-response","86","220952","0.0-3.0-1.57","../audio/71-3-masc.mp3"," ","","favoritas","","","",""
"","1192","audio-keyboard-response","87","222493","0.0-3.0-1.58","../audio/71-4-masc.mp3"," ","","são","","","",""
"","1451","audio-keyboard-response","88","224308","0.0-3.0-1.59","../audio/71-5-masc.mp3"," ","","morango","","","",""
"","1149","audio-keyboard-response","89","225828","0.0-3.0-1.60","../audio/71-6-masc.mp3"," ","","e","","","",""
"","1701","audio-keyboard-response","90","227882","0.0-3.0-1.61","../audio/71-7-masc.mp3"," ","","uva.","","","",""
"","null","html-keyboard-response","91","229149","0.0-3.0-0.62-0.62","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1029","audio-keyboard-response","92","230713","0.0-3.0-1.62","../audio/72-1-fem.mp3"," ","","A","","","",""
"","1819","audio-keyboard-response","93","232901","0.0-3.0-1.63","../audio/72-2-fem.mp3"," ","","vencedora","","","",""
"","1411","audio-keyboard-response","94","234737","0.0-3.0-1.64","../audio/72-3-fem.mp3"," ","","recebeu","","","",""
"","1021","audio-keyboard-response","95","236122","0.0-3.0-1.65","../audio/72-4-fem.mp3"," ","","um","","","",""
"","1200","audio-keyboard-response","96","237684","0.0-3.0-1.66","../audio/72-5-fem.mp3"," ","","prêmio","","","",""
"","1088","audio-keyboard-response","97","239220","0.0-3.0-1.67","../audio/72-6-fem.mp3"," ","","em","","","",""
"","1880","audio-keyboard-response","98","241479","0.0-3.0-1.68","../audio/72-7-fem.mp3"," ","","dinheiro.","","","",""
"","null","html-keyboard-response","99","242760","0.0-3.0-0.69-0.69","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2219","audio-keyboard-response","100","245516","0.0-3.0-1.69","../audio/75-1-fem.mp3"," ","","Só","","","",""
"","2331","audio-keyboard-response","101","248372","0.0-3.0-1.70","../audio/75-2-fem.mp3"," ","","existe","","","",""
"","1152","audio-keyboard-response","102","250210","0.0-3.0-1.71","../audio/75-3-fem.mp3"," ","","uma","","","",""
"","1488","audio-keyboard-response","103","252061","0.0-3.0-1.72","../audio/75-4-fem.mp3"," ","","pessoa","","","",""
"","1451","audio-keyboard-response","104","253915","0.0-3.0-1.73","../audio/75-5-fem.mp3"," ","","canhota","","","",""
"","1749","audio-keyboard-response","105","256027","0.0-3.0-1.74","../audio/75-6-fem.mp3"," ","","nesta","","","",""
"","2541","audio-keyboard-response","106","259123","0.0-3.0-1.75","../audio/75-7-fem.mp3"," ","","cidade.","","","",""
"","37183","html-keyboard-response","107","296567","0.0-3.0-2.75-0.75","<span style=""font-size:25px; font-family: monospace"">Só existe uma pessoa canhota na cidade?</span>","s","","","Só existe uma pessoa canhota na cidade?","null","exp-sent","false"
"","null","html-keyboard-response","108","298086","0.0-3.0-0.76-0.76","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4272","audio-keyboard-response","109","302848","0.0-3.0-1.76","../audio/06-1-masc.mp3"," ","","Ouvimos","","","",""
"","2051","audio-keyboard-response","110","305375","0.0-3.0-1.77","../audio/06-2-masc.mp3"," ","","a","","","",""
"","1541","audio-keyboard-response","111","307737","0.0-3.0-1.78","../audio/06-3-masc.mp3"," ","","fala","","","",""
"","1219","audio-keyboard-response","112","309348","0.0-3.0-1.79","../audio/06-4-masc.mp3"," ","","do","","","",""
"","1520","audio-keyboard-response","113","311247","0.0-3.0-1.80","../audio/06-5-masc.mp3"," ","","profeta","","","",""
"","1261","audio-keyboard-response","114","312895","0.0-3.0-1.81","../audio/06-6-masc.mp3"," ","","no","","","",""
"","1771","audio-keyboard-response","115","315030","0.0-3.0-1.82","../audio/06-7-masc.mp3"," ","","púlpito","","","",""
"","1232","audio-keyboard-response","116","316729","0.0-3.0-1.83","../audio/06-8-masc.mp3"," ","","da","","","",""
"","1581","audio-keyboard-response","117","318679","0.0-3.0-1.84","../audio/06-9-masc.mp3"," ","","igreja.","","","",""
"","null","html-keyboard-response","118","319955","0.0-3.0-0.85-0.85","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1091","audio-keyboard-response","119","321488","0.0-3.0-1.85","../audio/07-1-fem.mp3"," ","","Meu","","","",""
"","1088","audio-keyboard-response","120","322940","0.0-3.0-1.86","../audio/07-2-fem.mp3"," ","","filho","","","",""
"","891","audio-keyboard-response","121","324175","0.0-3.0-1.87","../audio/07-3-fem.mp3"," ","","é","","","",""
"","1240","audio-keyboard-response","122","325805","0.0-3.0-1.88","../audio/07-4-fem.mp3"," ","","muito","","","",""
"","1851","audio-keyboard-response","123","328039","0.0-3.0-1.89","../audio/07-5-fem.mp3"," ","","responsável","","","",""
"","1219","audio-keyboard-response","124","329739","0.0-3.0-1.90","../audio/07-6-fem.mp3"," ","","nos","","","",""
"","1309","audio-keyboard-response","125","331427","0.0-3.0-1.91","../audio/07-7-fem.mp3"," ","","estudos.","","","",""
"","null","html-keyboard-response","126","332696","0.0-3.0-0.92-0.92","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1139","audio-keyboard-response","127","334260","0.0-3.0-1.92","../audio/08-1-fem.mp3"," ","","A","","","",""
"","1739","audio-keyboard-response","128","337263","0.0-3.0-1.93","../audio/08-2-fem.mp3"," ","","receita","","","",""
"","2379","audio-keyboard-response","129","340060","0.0-3.0-1.94","../audio/08-3-fem.mp3"," ","","pede","","","",""
"","1160","audio-keyboard-response","130","341767","0.0-3.0-1.95","../audio/08-4-fem.mp3"," ","","um","","","",""
"","1509","audio-keyboard-response","131","343645","0.0-3.0-1.96","../audio/08-5-fem.mp3"," ","","litro","","","",""
"","1349","audio-keyboard-response","132","345361","0.0-3.0-1.97","../audio/08-6-fem.mp3"," ","","de","","","",""
"","1400","audio-keyboard-response","133","347119","0.0-3.0-1.98","../audio/08-7-fem.mp3"," ","","leite","","","",""
"","1629","audio-keyboard-response","134","349115","0.0-3.0-1.99","../audio/08-8-fem.mp3"," ","","integral.","","","",""
"","null","html-keyboard-response","135","350396","0.0-3.0-0.100-0.100","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1291","audio-keyboard-response","136","352109","0.0-3.0-1.100","../audio/09-1-fem.mp3"," ","","O","","","",""
"","1600","audio-keyboard-response","137","354083","0.0-3.0-1.101","../audio/09-2-fem.mp3"," ","","rapaz","","","",""
"","1488","audio-keyboard-response","138","355982","0.0-3.0-1.102","../audio/09-3-fem.mp3"," ","","limpou","","","",""
"","1181","audio-keyboard-response","139","357522","0.0-3.0-1.103","../audio/09-4-fem.mp3"," ","","o","","","",""
"","1429","audio-keyboard-response","140","359309","0.0-3.0-1.104","../audio/09-5-fem.mp3"," ","","terreno","","","",""
"","1099","audio-keyboard-response","141","360756","0.0-3.0-1.105","../audio/09-6-fem.mp3"," ","","com","","","",""
"","1091","audio-keyboard-response","142","362232","0.0-3.0-1.106","../audio/09-7-fem.mp3"," ","","uma","","","",""
"","1229","audio-keyboard-response","143","363830","0.0-3.0-1.107","../audio/09-8-fem.mp3"," ","","pá.","","","",""
"","null","html-keyboard-response","144","365105","0.0-3.0-0.108-0.108","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1280","audio-keyboard-response","145","366830","0.0-3.0-1.108","../audio/10-1-masc.mp3"," ","","O","","","",""
"","741","audio-keyboard-response","146","367924","0.0-3.0-1.109","../audio/10-2-masc.mp3"," ","","pássaro","","","",""
"","1080","audio-keyboard-response","147","369359","0.0-3.0-1.110","../audio/10-3-masc.mp3"," ","","azul","","","",""
"","1488","audio-keyboard-response","148","371224","0.0-3.0-1.111","../audio/10-4-masc.mp3"," ","","estava","","","",""
"","1200","audio-keyboard-response","149","372811","0.0-3.0-1.112","../audio/10-5-masc.mp3"," ","","vivo","","","",""
"","1080","audio-keyboard-response","150","374250","0.0-3.0-1.113","../audio/10-6-masc.mp3"," ","","e","","","",""
"","1360","audio-keyboard-response","151","376118","0.0-3.0-1.114","../audio/10-7-masc.mp3"," ","","em","","","",""
"","1469","audio-keyboard-response","152","377989","0.0-3.0-1.115","../audio/10-8-masc.mp3"," ","","segurança.","","","",""
